analysis_neighborhood,year,total_crime,violent_crime,property_crime,total_units,median_value,parcel_count,pct_residential,log_median_value,density,population,pop_white,pop_hispanic,pop_black,pop_asian,median_hh_income,log_income,crime_rate,violent_rate,property_rate,pct_white,pct_hispanic,pct_black,pct_asian,in_hospitality_zone
Golden Gate Park,2021,1855,69,1255,42.0,2359833.5,2.0,0.5,14.674101623665507,21.0,25.0,0.0,0.0,0.0,0.0,,,74200.0,2760.0,50200.0,0.0,0.0,0.0,0.0,0
Golden Gate Park,2022,1860,71,1263,42.0,2356978.5,2.0,0.5,14.67289106011171,21.0,25.0,0.0,0.0,0.0,0.0,,,74400.0,2840.0,50520.0,0.0,0.0,0.0,0.0,0
Golden Gate Park,2023,1892,65,1297,42.0,2404116.0,2.0,0.5,14.692692826384915,21.0,25.0,0.0,0.0,0.0,0.0,,,75680.0,2600.0,51880.0,0.0,0.0,0.0,0.0,0
Haight Ashbury,2018,2613,176,1229,8093.0,827924.0,3824.0,0.9680962343096234,13.626676641715058,2.116370292887029,17780.0,66627.0,92699.0,3257.0,10329.0,149718.18208039275,11.916510019815293,146.962879640045,9.898762654668166,69.12260967379078,3.7473003374578178,5.213667041619797,0.18318335208098988,0.580933633295838,0
Haight Ashbury,2019,2297,132,1000,8096.0,874651.0,3829.0,0.969182554191695,13.681580228632226,2.1143901802037086,17780.0,66627.0,92699.0,3257.0,10329.0,167086.53459042488,12.026267128394704,129.19010123734535,7.424071991001125,56.2429696287964,3.7473003374578178,5.213667041619797,0.18318335208098988,0.580933633295838,0
Haight Ashbury,2020,1952,100,1139,8073.0,924525.0,3846.0,0.96931877275091,13.73703537108783,2.0990639625585024,17780.0,66627.0,92699.0,3257.0,10329.0,185401.8877357639,12.130281114024106,109.78627671541058,5.624296962879639,64.0607424071991,3.7473003374578178,5.213667041619797,0.18318335208098988,0.580933633295838,0
Haight Ashbury,2021,2033,108,1243,8078.0,951728.0,3851.0,0.9696182809659829,13.766034558663685,2.0976369774084653,17780.0,66627.0,92699.0,3257.0,10329.0,190610.47337941345,12.157987218217299,114.34195725534309,6.074240719910011,69.91001124859393,3.7473003374578178,5.213667041619797,0.18318335208098988,0.580933633295838,0
Haight Ashbury,2022,1848,124,1145,8050.0,1005518.0,3865.0,0.969987063389392,13.821013389576136,2.0827943078913327,17780.0,66627.0,92699.0,3257.0,10329.0,204921.77817632625,12.23038361543266,103.93700787401575,6.974128233970754,64.39820022497187,3.7473003374578178,5.213667041619797,0.18318335208098988,0.580933633295838,0
Haight Ashbury,2023,1706,114,1044,8045.0,1079137.0,3871.0,0.969258589511754,13.891672205596464,2.078274347713769,17780.0,66627.0,92699.0,3257.0,10329.0,212611.13247496425,12.267220106994909,95.95050618672666,6.411698537682789,58.71766029246344,3.7473003374578178,5.213667041619797,0.18318335208098988,0.580933633295838,0
Hayes Valley,2018,3625,199,2390,9281.0,475917.0,4718.0,0.6748622297583722,13.072998748261487,1.9671470962272148,18240.0,53373.0,95084.0,7075.0,16790.0,155707.23501809893,11.955732824424574,198.7390350877193,10.910087719298245,131.03070175438597,2.9261513157894736,5.212938596491228,0.38788377192982454,0.9205043859649122,0
