analysis_neighborhood,year,total_crime,violent_crime,property_crime,total_units,median_value,parcel_count,pct_residential,log_median_value,density,population,pop_white,pop_hispanic,pop_black,pop_asian,median_hh_income,log_income,crime_rate,violent_rate,property_rate,pct_white,pct_hispanic,pct_black,pct_asian,in_hospitality_zone
Bernal Heights,2022,2764,250,1658,8520.0,624201.0,6953.0,0.9437652811735942,13.344227710868157,1.2253703437365167,24725.0,54210.0,125557.0,4547.0,19969.0,,,111.78968655207281,10.111223458038422,67.05763397371082,2.1925176946410514,5.078139534883721,0.18390293225480284,0.8076440849342771,0
Bernal Heights,2023,2972,237,1742,8506.0,664575.5,6954.0,0.9449237848720161,13.406903769943861,1.2231809030773655,24725.0,54210.0,125557.0,4547.0,19969.0,,,120.20222446916077,9.585439838220426,70.45500505561172,2.1925176946410514,5.078139534883721,0.18390293225480284,0.8076440849342771,0
Castro/Upper Market,2018,4341,409,2174,10704.0,819068.0,6249.0,0.961433829412706,13.615922387471594,1.7129140662506002,22024.0,77372.0,112360.0,3287.0,14738.0,129091.72461399752,11.768278474191494,197.10316018888486,18.570650199782058,98.71049763893934,3.5130766436614604,5.101707228478024,0.1492462767889575,0.6691790773701417,0
Castro/Upper Market,2019,4018,434,1899,10668.0,861693.0,6269.0,0.9617163821981177,13.666654337718015,1.7017068112936673,22024.0,77372.0,112360.0,3287.0,14738.0,136217.03008484037,11.822004702214663,182.4373410824555,19.705775517617145,86.22411914275337,3.5130766436614604,5.101707228478024,0.1492462767889575,0.6691790773701417,0
Castro/Upper Market,2020,3329,290,1756,10636.0,907695.0,6287.0,0.9619850485128042,13.718663698071653,1.691744870367425,22024.0,77372.0,112360.0,3287.0,14738.0,177695.03357206803,12.087824065367643,151.15328732292045,13.167453686887033,79.73120232473666,3.5130766436614604,5.101707228478024,0.1492462767889575,0.6691790773701417,0
Castro/Upper Market,2021,3593,298,1932,10608.0,941110.0,6305.0,0.9627279936558287,13.754815308653777,1.6824742268041237,22024.0,77372.0,112360.0,3287.0,14738.0,206992.04742839545,12.240435653289195,163.14021067925898,13.530693788594261,87.72248456229568,3.5130766436614604,5.101707228478024,0.1492462767889575,0.6691790773701417,0
Castro/Upper Market,2022,3133,261,1797,10555.0,1004805.5,6326.0,0.9634840341447992,13.820304548407206,1.6685109073664244,22024.0,77372.0,112360.0,3287.0,14738.0,208031.58659217876,12.245445205770347,142.25390483109334,11.850708318198329,81.5928078459862,3.5130766436614604,5.101707228478024,0.1492462767889575,0.6691790773701417,0
Castro/Upper Market,2023,2852,300,1560,10528.0,1068535.0,6371.0,0.9651546068121174,13.881799109405147,1.6524878355046304,22024.0,77372.0,112360.0,3287.0,14738.0,211306.28386787936,12.261063942243254,129.49509625862694,13.621503814021068,70.83181983290955,3.5130766436614604,5.101707228478024,0.1492462767889575,0.6691790773701417,0
Chinatown,2018,2828,211,1325,5934.0,780104.0,1381.0,0.5879797248370746,13.56718252311101,4.296886314265025,12644.0,6369.0,65490.0,0.0,57182.0,48200.29892141757,10.783120501708622,223.66339765896868,16.687757038911737,104.79278709269218,0.5037171781081936,5.179531793736159,0.0,4.522461246441,1
Chinatown,2019,2760,185,1264,5960.0,847902.0,1405.0,0.5914590747330961,13.650520342058035,4.241992882562277,12644.0,6369.0,65490.0,0.0,57182.0,51290.89880952381,10.845268604299253,218.28535273647577,14.6314457450174,99.9683644416324,0.5037171781081936,5.179531793736159,0.0,4.522461246441,1
